true_index,predicted_column
7,0.0
19,4172.727272727273
31,6050.544303797468
45,2870.1475409836066
56,3458.5
57,5198.707070707071
61,5398.928571428572
63,6960.588235294118
79,4499.53125
81,8521.704545454546
84,3388.6470588235293
86,5926.162790697675
90,5046.066666666667
96,5859.357142857143
105,0.0
108,6406.9375
124,9704.0
126,5334.321100917431
133,6746.121951219512
146,6004.0
151,0.0
160,6949.333333333333
164,8185.5
167,9548.142857142857
190,0.0
194,6582.391304347826
206,11116.074074074075
214,0.0
217,7740.340909090909
220,9881.5
221,12449.0
225,5185.875
226,4759.75
232,8679.528301886792
250,5188.8421052631575
264,5434.714285714285
269,4897.493506493506
271,6517.235294117647
280,7370.5625
281,0.0
284,4738.583333333333
302,7955.333333333333
323,5530.2307692307695
327,0.0
336,4752.5
351,3824.6363636363635
377,6262.857142857143
382,4311.0485436893205
388,6830.282608695652
392,0.0
402,0.0
408,6106.025
427,6322.780487804878
466,0.0
469,0.0
472,0.0
477,0.0
508,6892.033333333334
513,9570.296296296296
516,5865.923076923077
530,4202.714285714285
558,3107.0
576,13185.0
588,8412.4
595,6294.717948717948
600,5051.633333333333
601,7471.0
609,4955.59375
612,5059.973684210527
615,6283.538461538462
625,4668.556701030928
632,0.0
645,4357.026315789473
666,6119.0
668,6805.363636363636
672,14055.0
699,16767.0
717,5889.742857142857
737,5995.576687116564
744,7373.75
747,13247.0
764,8840.0
775,6866.0204081632655
788,0.0
795,9004.57142857143
802,9591.0
811,11549.0
840,9333.0
849,10886.666666666666
859,6966.811594202899
871,0.0
872,13805.0
881,4483.7
883,8021.971428571429
890,4993.0
896,7211.4
902,0.0
905,8621.3
921,8134.193548387097
967,8940.857142857143
973,5826.266666666666
1001,4326.261904761905
1016,0.0
1021,8840.733333333334
1026,5271.983739837398
1030,7386.8
1044,6252.306451612903
1063,9423.774193548386
1067,8987.888888888889
1075,9132.410256410256
1086,0.0
1097,4881.4358974358975
1117,11252.5
1122,4609.461538461538
1125,7970.0
1129,5702.206896551724
1141,4644.5142857142855
1149,0.0
1151,4374.247311827957
1159,6833.5625
1173,6480.5
1184,0.0
1193,5897.295454545455
1241,5658.285714285715
1249,0.0
1250,7452.25641025641
1261,0.0
1273,6369.95
1282,0.0
1296,7131.883333333333
1309,2396.021739130435
1332,5026.851063829788
1336,6928.367924528302
1357,5609.419354838709
1372,6153.72
1374,7008.188679245283
1378,10374.117647058823
1379,4926.621621621622
1384,7962.695652173913
1394,7431.857142857143
1398,3049.1
1399,5169.9
1403,7570.2
1409,9229.875
1424,4589.285714285715
1430,6464.724137931034
1432,4878.1
1448,6534.177777777778
1451,10913.1
1452,7774.928571428572
1467,0.0
1470,5750.5
1481,9010.0
1523,3293.6666666666665
1527,5496.416666666667
1546,5089.096774193548
1547,14213.0
1567,4147.857142857143
1592,9321.0
1597,10055.0
1601,0.0
1603,7556.863636363636
1640,6012.75
1646,0.0
1651,0.0
1652,9520.285714285714
1670,0.0
1677,0.0
1691,5648.761904761905
1704,2356.1428571428573
1707,8018.5
1718,5797.045454545455
1721,5940.152173913043
1733,0.0
1737,7884.875
1748,3992.8333333333335
1776,6272.135802469136
1804,7386.214285714285
1821,7500.142857142857
1839,4543.948717948718
1845,6221.428571428572
1853,6598.576
1888,4718.0
1895,5865.537037037037
1899,6907.225806451613
1923,3639.229885057471
1934,9076.0625
1937,10648.25
1940,5153.871900826446
1953,0.0
1968,3982.864077669903
1975,0.0
1981,7806.5625
1984,5563.111111111111
1997,10741.333333333334
2024,10089.666666666666
2032,9338.871794871795
2036,10639.5
2051,3533.576923076923
2061,0.0
2082,4529.324324324324
2093,0.0
2096,5860.645161290323
2107,5740.454545454545
2115,6259.375
2117,4091.0
2137,2882.4285714285716
2156,8635.363636363636
2160,0.0
2186,8884.5
2188,6788.652173913043
2204,7611.767441860465
2217,5686.2474226804125
2224,4343.548076923077
2228,17014.0
2233,10585.777777777777
2246,4498.684210526316
2254,10069.0
2275,7779.142857142857
2281,6422.24
2287,13940.0
2300,7803.482758620689
2305,9066.907692307692
2306,5177.5
2313,3209.5714285714284
2315,6095.133333333333
2320,4016.269230769231
2322,6495.055555555556
2324,4520.9375
2328,10773.0
2335,7132.909090909091
2340,3832.8
2352,0.0
2381,6583.714285714285
2383,5036.341463414634
2408,3757.1666666666665
2422,6202.36
2424,4593.792207792208
2425,0.0
2428,4430.126984126984
2435,5012.954545454545
2456,8615.0625
2471,0.0
2474,5293.51282051282
2493,3970.2
2495,5694.0
2501,0.0
2511,3634.8
2519,3639.3529411764707
2522,6653.3125
2526,6251.482142857143
2527,8255.333333333334
2539,7437.444444444444
2550,8520.363636363636
2562,0.0
2572,7655.045454545455
2573,5584.194444444444
2576,8630.547619047618
2579,3753.6153846153848
2580,6214.5
2594,5294.709677419355
2600,8136.833333333333
2602,10927.478260869566
2621,0.0
2641,0.0
2651,8643.25
2669,6377.131578947368
2686,9906.0
2694,5764.592592592592
2699,9224.5
2700,4908.1578947368425
2747,6622.36170212766
2759,7306.568181818182
2763,6287.04347826087
2794,0.0
2797,0.0
2812,10535.842105263158
2815,6564.108695652174
2824,0.0
2829,6711.88
2830,7202.0
2852,5957.384615384615
2855,7914.292682926829
2858,0.0
2870,9842.583333333334
2881,5929.618181818182
2884,3195.2
2887,6625.777777777777
2890,9670.5
2897,9244.0
2909,4121.358974358975
2917,10616.375
2929,4237.56
2937,5327.827586206897
2962,8382.71875
2985,8209.181818181818
2997,9191.020408163266
3007,4300.756756756757
3015,6415.548387096775
3020,4365.75
3030,7269.0
3035,6299.907692307693
3048,5764.833333333333
3075,6785.363636363636
3079,7605.180327868852
3087,5996.857142857143
3091,6925.718309859155
3103,6716.051282051282
3107,9262.1
3120,0.0
3126,8993.57142857143
3127,13417.285714285714
3131,6131.914285714286
3142,6936.0
3143,0.0
3146,6697.260869565217
3157,6687.15
3162,6855.622641509434
3165,7557.571428571428
3168,0.0
3170,0.0
3172,6337.533333333334
3175,4409.0
3179,4889.565217391304
3188,7918.5
3194,0.0
3200,6344.423076923077
3209,4431.666666666667
3231,9969.5625
3235,6172.75
3238,6700.470588235294
3276,7304.3448275862065
3283,0.0
3286,4614.5
3306,0.0
3328,9974.5
3340,8216.166666666666
3347,0.0
3351,6299.090909090909
3357,7977.454545454545
3364,4846.8403361344535
3374,7457.744680851064
3402,8676.642857142857
3407,0.0
3420,7600.76
3434,6192.717948717948
3436,4589.285714285715
3442,8421.583333333334
3448,5904.333333333333
3456,4923.450980392156
3467,4589.285714285715
3473,5248.846153846154
3486,6814.415094339623
3496,4644.5142857142855
3509,7014.865979381443
3517,5489.387096774193
3519,7826.522727272727
3521,5122.333333333333
3534,2031.125
3539,3420.568181818182
3551,11406.4
3556,4155.333333333333
3559,10600.25
3573,8507.75
3600,8607.869565217392
3602,2151.6666666666665
3617,4374.1612903225805
3635,8536.631578947368
3641,8194.140625
3648,7649.024390243902
3676,0.0
3694,0.0
3707,5569.33962264151
3708,4834.571428571428
3716,7119.4639175257735
3734,0.0
3738,7621.390243902439
3744,6046.236111111111
3746,7788.129032258064
3749,11545.07142857143
3777,5664.911764705882
3794,11130.5
3804,3887.269230769231
3813,18688.5
3828,5472.741935483871
3840,9169.923076923076
3843,5342.078947368421
3844,0.0
3856,7632.44
3864,4784.142857142857
3865,3362.788888888889
3891,6352.823529411765
3893,5604.0344827586205
3896,4707.0
3910,6959.444444444444
3920,8417.57142857143
3922,6156.988095238095
3929,0.0
3931,0.0
3932,4355.173913043478
3941,4843.318181818182
3946,4149.471428571429
3966,4801.5
3975,6607.723684210527
3977,0.0
3986,4450.709677419355
3989,18125.5
3993,5569.388349514563
3996,4643.9682539682535
4016,31609.0
4020,6637.859649122807
4023,0.0
4031,7491.862068965517
4040,6552.315789473684
4041,0.0
4042,0.0
4052,5250.548913043478
4067,0.0
4071,9548.0
4104,5647.909090909091
4110,2752.4
4122,8045.733333333334
4127,7367.356164383562
4129,8473.224489795919
4130,0.0
4162,3816.0857142857144
4180,4703.117647058823
4181,6966.811594202899
4190,4704.448275862069
4195,0.0
4196,3692.4864864864867
4215,4830.048076923077
4233,0.0
4236,0.0
4240,3742.285714285714
4258,4956.0921052631575
4264,4211.3877551020405
4268,8789.609756097561
4269,7841.706896551724
4286,8250.204081632653
4300,9003.875
4303,0.0
4320,10129.25
4323,6000.448275862069
4327,9770.0
4339,5158.346153846154
4354,5290.322580645161
4366,4908.1578947368425
4371,5916.95652173913
4388,6911.179487179487
4422,6491.1
4433,0.0
4434,9145.153846153846
4436,8194.140625
4452,9346.588235294117
4474,5238.818181818182
4482,4350.551724137931
4495,0.0
4521,10565.166666666666
4552,3078.7457627118642
4555,8249.65909090909
4556,6159.0
4560,7814.090909090909
4577,7230.090909090909
4586,3311.2727272727275
4589,6716.051282051282
4618,0.0
4620,5425.397435897436
4642,5064.028571428571
4654,5527.615384615385
4674,8640.318181818182
4684,4274.785714285715
4710,8384.3
4711,5849.528735632184
4717,4957.289473684211
4736,4707.828571428571
4745,6240.984126984127
4747,6576.6875
4767,4964.428571428572
4774,9923.129032258064
4790,4342.766666666666
4792,7702.103448275862
4796,9437.333333333334
4799,9503.0
4819,5967.40625
4828,6507.722222222223
4840,4553.1875
4844,7090.406976744186
4851,6532.918918918919
4870,0.0
4878,0.0
4894,5687.735632183908
4898,0.0
4919,8750.756756756757
4923,0.0
4924,0.0
4933,4733.287128712871
4977,7157.7692307692305
4987,8596.548387096775
4994,6466.0
5005,4427.4
5007,4979.51
5009,5853.5142857142855
5016,5277.610169491525
5031,0.0
5032,5853.5142857142855
5049,11016.157894736842
5052,10942.8
5053,7590.375
5087,5209.49494949495
5101,7242.571428571428
5132,0.0
5171,4281.461538461538
5178,4496.916666666667
5189,10520.42857142857
5196,2923.0
5205,4697.1
5210,9231.289855072464
5211,8286.724137931034
5234,3025.060810810811
5238,9956.333333333334
5242,8740.848484848484
5253,6625.315789473684
5262,3139.285714285714
5318,8455.6
5327,0.0
5334,7507.441860465116
5366,3853.6666666666665
5384,4928.846153846154
5395,0.0
5397,4160.068181818182
5399,8874.535714285714
5419,8998.064516129032
5431,7223.96875
5432,6888.545454545455
5435,5101.571428571428
5437,8726.09375
5481,5222.4
5482,8943.0
5485,9544.347826086956
5497,4237.56
5502,4989.5625
5513,7830.5
5517,4523.617647058823
5533,4616.0
5535,2520.08
5539,5037.0
5561,0.0
5574,8409.446808510638
5588,0.0
5593,8573.470588235294
5607,5161.148936170212
5647,7964.823529411765
5662,8973.25
5669,4177.5
5692,6184.706586826347
5713,7646.454545454545
5720,6799.333333333333
5726,6991.6373626373625
5735,8294.95294117647
5758,4542.864864864865
5765,3811.0344827586205
5793,8396.441176470587
5798,3308.55
5822,8055.940298507463
5824,6978.488372093023
5826,6625.806451612903
5829,8717.227272727272
5831,0.0
5835,5671.222222222223
5853,5777.777777777777
5875,2792.5
5879,16230.0
5883,6681.8536585365855
5890,5688.173913043478
5914,6563.28
5921,5627.55
5922,5193.210526315789
5935,4343.548076923077
5944,7185.333333333333
5950,0.0
5977,7877.476190476191
5987,0.0
5988,9928.653846153846
5994,7562.941176470588
6009,4705.575
6019,12566.0
6045,8415.333333333334
6056,7731.684210526316
6073,5852.013157894737
6088,4402.736111111111
6094,6399.0
6104,16767.666666666668
6118,0.0
6125,9216.162790697674
6155,0.0
6166,4716.986046511628
6171,5543.8
6172,6579.222222222223
6174,0.0
6185,5285.049180327869
6191,4520.9375
6196,9094.807692307691
6218,10637.444444444445
6221,6322.225
6226,0.0
6232,0.0
6233,5590.170454545455
6248,10341.67857142857
6253,4421.0
6273,5022.125
6280,2370.0
6287,6302.954545454545
6290,0.0
6299,0.0
6315,7912.1621621621625
6323,8083.166666666667
6331,0.0
6333,3691.0476190476193
6334,7004.313725490196
6369,2398.8125
6376,0.0
6382,7207.026315789473
6383,6835.285714285715
6407,7644.115384615385
6408,9114.714285714286
6412,0.0
6419,6115.181818181818
6428,5305.4
6434,7499.171428571429
6448,10691.777777777777
6451,4881.521739130435
6458,9445.25
6470,8974.916666666666
6472,0.0
6480,5655.642857142857
6482,4284.27149321267
6486,7108.757575757576
6503,0.0
6507,5887.315789473684
6527,4611.8378378378375
6529,6314.9473684210525
6540,8064.777777777777
6550,10835.357142857143
6552,5723.212121212121
6553,7102.95
6555,4217.461538461538
6588,17660.0
6607,7111.636363636364
